respid,state,state_name,usr,urbsurb_rural,gender,locations_genders,int_freq,Use_of_Internet,smartphone,computer,both_sp_and_comp,tablet,age,marital,education,employment,race,income,hh,homeintspeed,useintoccasionally
194,53,WA,S,US,female,2,2,Several times a day,idk,yes,no,no,81,1,5,3,1,5,3,2,1
100273,12,FL,R,R,female,1,2,Several times a day,no,no,no,yes,79,1,3,3,1,99,2,3,1
101530,39,OH,R,R,female,1,4,Several times a week,no,no,no,yes,79,5,3,3,1,6,2,2,1
100507,13,GA,S,US,female,2,2,Several times a day,no,no,no,yes,70,2,6,3,1,7,2,2,1
74,36,NY,S,US,female,2,4,Several times a week,no,no,no,yes,57,5,3,4,2,1,1,2,1
101049,53,WA,U,US,female,2,4,Several times a week,no,no,no,yes,90,5,5,3,1,98,8,2,1
283,12,FL,R,R,female,1,4,Several times a week,no,yes,no,yes,78,5,5,4,1,5,1,2,1
100976,12,FL,R,R,female,1,3,~1x a day,no,yes,no,no,71,1,3,6,1,98,2,2,1
100776,17,IL,R,R,female,1,2,Several times a day,no,yes,no,no,78,5,7,3,1,99,1,2,1
68,26,MI,R,R,female,1,2,Several times a day,no,yes,no,yes,62,1,8,2,1,99,3,2,1
217,26,MI,R,R,female,1,2,Several times a day,no,yes,no,yes,72,5,7,3,1,4,1,2,1
208,30,MT,R,R,female,1,5,<Several times a week,no,yes,no,no,57,1,3,6,1,99,2,2,1
101737,36,NY,R,R,female,1,3,~1x a day,no,yes,no,yes,81,5,6,3,1,98,1,2,1
101785,36,NY,R,R,female,1,2,Several times a day,no,yes,no,yes,72,1,5,3,1,7,2,2,1
300126,37,NC,R,R,female,1,4,Several times a week,no,yes,no,yes,70,5,8,2,1,4,1,2,1
100176,47,TN,R,R,female,1,5,<Several times a week,no,yes,no,yes,58,3,6,1,2,7,2,2,1
35,48,TX,R,R,female,1,3,~1x a day,no,yes,no,no,67,1,3,3,1,6,2,2,1
168,50,VT,R,R,female,1,5,<Several times a week,no,yes,no,yes,78,5,3,3,2,1,1,2,1
175,54,WV,R,R,female,1,2,Several times a day,no,yes,no,no,65,3,3,3,1,2,1,2,1
100365,55,WI,R,R,female,1,2,Several times a day,no,yes,no,no,73,5,5,3,5,3,1,2,1
189,56,WY,R,R,female,1,3,~1x a day,no,yes,no,yes,85,1,3,3,1,98,2,2,1
101517,6,CA,S,US,female,2,1,Almost constantly,no,yes,no,yes,60,1,3,2,1,6,2,2,1
152,6,CA,U,US,female,2,3,~1x a day,no,yes,no,no,64,5,6,3,1,99,1,2,1
198,6,CA,U,US,female,2,2,Several times a day,no,yes,no,no,72,1,3,3,1,4,2,2,1
100051,9,CT,S,US,female,2,2,Several times a day,no,yes,no,yes,56,6,2,6,2,1,1,2,1
100082,12,FL,S,US,female,2,4,Several times a week,no,yes,no,no,80,9,6,3,9,9,9,2,1
289,13,GA,S,US,female,2,5,<Several times a week,no,yes,no,no,65,5,2,6,1,6,1,2,1
101353,19,IA,U,US,female,2,3,~1x a day,no,yes,no,no,72,5,7,3,1,3,1,2,1
252,24,MD,S,US,female,2,3,~1x a day,no,yes,no,no,71,3,6,3,1,3,2,2,1
100160,25,MA,S,US,female,2,2,Several times a day,no,yes,no,yes,67,3,2,3,1,1,1,2,1
100501,26,MI,S,US,female,2,2,Several times a day,no,yes,no,yes,55,1,6,3,1,5,2,2,1
100987,27,MN,S,US,female,2,4,Several times a week,no,yes,no,no,66,1,4,3,1,2,2,2,1
100674,35,NM,U,US,female,2,1,Almost constantly,no,yes,no,no,70,4,6,6,1,1,1,2,1
101225,37,NC,S,US,female,2,2,Several times a day,no,yes,no,yes,72,1,3,3,1,3,2,2,1
301,41,OR,S,US,female,2,4,Several times a week,no,yes,no,yes,78,5,4,3,1,3,1,2,1
47,42,PA,S,US,female,2,2,Several times a day,no,yes,no,no,79,3,5,3,1,99,1,2,1
101777,51,VA,S,US,female,2,8,idk,no,yes,no,no,58,1,3,1,2,2,3,2,1
139,53,WA,U,US,female,2,2,Several times a day,no,yes,no,yes,67,3,4,3,1,3,2,2,1
100407,53,WA,S,US,female,2,5,<Several times a week,no,yes,no,no,65,1,5,3,1,99,3,2,1
100171,12,FL,R,R,male,3,2,Several times a day,no,yes,no,yes,79,1,6,3,1,8,2,2,1
100643,18,IN,R,R,male,3,3,~1x a day,no,yes,no,yes,70,1,3,2,1,6,2,2,1
218,23,ME,R,R,male,3,3,~1x a day,no,yes,no,no,71,1,4,3,1,4,2,2,1
100666,32,NV,R,R,male,3,2,Several times a day,no,yes,no,yes,70,1,8,3,1,7,2,2,1
290,33,NH,R,R,male,3,2,Several times a day,no,yes,no,no,86,1,6,3,1,3,2,2,1
41,42,PA,R,R,male,3,4,Several times a week,no,yes,no,yes,64,1,5,1,1,7,2,2,1
148,53,WA,R,R,male,3,2,Several times a day,no,yes,no,no,58,3,4,3,2,5,1,3,1
197,6,CA,S,US,male,4,2,Several times a day,no,yes,no,no,69,6,6,3,1,99,1,2,1
100434,6,CA,U,US,male,4,2,Several times a day,no,yes,no,no,58,1,6,6,1,4,3,2,1
214,12,FL,S,US,male,4,2,Several times a day,no,yes,no,yes,55,1,6,3,1,7,2,2,1
237,12,FL,S,US,male,4,2,Several times a day,no,yes,no,yes,66,1,8,3,1,9,1,2,1
357,12,FL,U,US,male,4,2,Several times a day,no,yes,no,yes,63,1,7,3,1,2,3,3,1
99,12,FL,S,US,male,4,2,Several times a day,no,yes,no,no,65,1,6,3,1,99,2,2,1
346,17,IL,S,US,male,4,2,Several times a day,no,yes,no,no,62,3,6,3,1,5,1,2,1
23,21,KY,U,US,male,4,2,Several times a day,no,yes,no,no,66,1,3,5,1,6,2,2,1
210,25,MA,S,US,male,4,2,Several times a day,no,yes,no,no,62,1,6,3,1,7,2,2,1
177,27,MN,S,US,male,4,3,~1x a day,no,yes,no,no,85,5,4,3,1,5,1,2,1
100144,27,MN,S,US,male,4,4,Several times a week,no,yes,no,no,72,5,3,3,1,2,1,2,1
100376,29,MO,S,US,male,4,2,Several times a day,no,yes,no,yes,58,1,3,1,1,5,3,2,1
129,29,MO,S,US,male,4,3,~1x a day,no,yes,no,no,62,1,1,6,1,99,2,2,1
100235,34,NJ,S,US,male,4,2,Several times a day,no,yes,no,no,77,1,4,3,1,99,3,2,1
100580,34,NJ,S,US,male,4,2,Several times a day,no,yes,no,no,72,3,5,3,1,9,1,2,1
100093,36,NY,U,US,male,4,1,Almost constantly,no,yes,no,yes,56,3,4,3,2,7,7,2,1
100477,36,NY,U,US,male,4,4,Several times a week,no,yes,no,no,65,1,8,3,1,99,2,2,1
101664,37,NC,U,US,male,4,4,Several times a week,no,yes,no,no,62,6,4,5,1,3,1,2,1
100112,40,OK,U,US,male,4,5,<Several times a week,no,yes,no,no,64,1,3,3,1,99,3,2,1
100097,42,PA,S,US,male,4,3,~1x a day,no,yes,no,no,59,6,6,3,1,1,2,2,1
101735,42,PA,S,US,male,4,2,Several times a day,no,yes,no,no,61,6,5,1,2,3,1,3,1
100616,45,SC,S,US,male,4,5,<Several times a week,no,yes,no,yes,72,5,3,3,1,6,1,2,1
156,45,SC,S,US,male,4,2,Several times a day,no,yes,no,no,91,1,5,3,1,8,2,2,1
100974,45,SC,U,US,male,4,2,Several times a day,no,yes,no,no,57,1,6,1,1,9,2,2,1
101011,45,SC,U,US,male,4,3,~1x a day,no,yes,no,no,77,1,4,3,1,6,2,2,1
100356,48,TX,S,US,male,4,2,Several times a day,no,yes,no,no,69,6,6,4,1,2,2,2,1
100805,48,TX,U,US,male,4,3,~1x a day,no,yes,no,no,58,1,3,1,1,5,2,2,1
300149,48,TX,U,US,male,4,2,Several times a day,no,yes,no,no,65,1,4,3,9,4,2,2,1
89,55,WI,U,US,male,4,5,<Several times a week,no,yes,no,no,65,3,3,3,1,4,3,2,1
343,30,MT,R,R,female,1,5,<Several times a week,refused,no,no,yes,59,1,2,4,1,1,4,2,1
100122,1,AL,R,R,female,1,3,~1x a day,refused,yes,no,yes,60,3,4,6,1,2,4,2,1
349,8,CO,R,R,female,1,4,Several times a week,refused,yes,no,no,57,4,5,1,1,99,1,2,1
100059,21,KY,R,R,female,1,3,~1x a day,refused,yes,no,no,79,5,6,3,1,4,1,2,1
101587,26,MI,R,R,female,1,1,Almost constantly,refused,yes,no,yes,55,1,5,4,1,98,2,2,1
100254,26,MI,R,R,female,1,1,Almost constantly,refused,yes,no,no,58,1,7,1,1,6,3,2,1
22,45,SC,S,US,female,2,5,<Several times a week,refused,yes,no,yes,82,3,3,3,1,2,3,2,1
271,51,VA,R,R,male,3,2,Several times a day,refused,yes,no,no,70,1,3,3,1,6,2,2,1
